[2025-07-21 10:58:04.856] Query: BBOX(56.3072,56.5072,62.2323,62.4323), Zoom: 12, Rows: 1000, SQL Time: 68ms, Total Time: 71ms
[2025-07-21 10:58:04.936] Query: BBOX(56.3137,56.5137,62.2539,62.4539), Zoom: 12, Rows: 1000, SQL Time: 69ms, Total Time: 72ms
[2025-07-21 10:58:05.018] Query: BBOX(56.3196,56.5196,62.2623,62.4623), Zoom: 12, Rows: 1000, SQL Time: 70ms, Total Time: 74ms
[2025-07-21 10:58:05.101] Query: BBOX(56.327,56.527,62.2623,62.4623), Zoom: 12, Rows: 1000, SQL Time: 72ms, Total Time: 75ms
[2025-07-21 10:58:05.180] Query: BBOX(56.3407,56.5407,62.2539,62.4539), Zoom: 12, Rows: 1000, SQL Time: 68ms, Total Time: 72ms
[2025-07-21 10:58:05.261] Query: BBOX(56.3557,56.5557,62.2383,62.4383), Zoom: 12, Rows: 1000, SQL Time: 69ms, Total Time: 73ms
[2025-07-21 10:58:05.342] Query: BBOX(56.37,56.57,62.2205,62.4205), Zoom: 12, Rows: 1000, SQL Time: 70ms, Total Time: 74ms
[2025-07-21 10:58:05.422] Query: BBOX(56.3742,56.5742,62.2045,62.4045), Zoom: 12, Rows: 1000, SQL Time: 69ms, Total Time: 72ms
[2025-07-21 10:58:05.502] Query: BBOX(56.3742,56.5742,62.1859,62.3859), Zoom: 12, Rows: 1000, SQL Time: 69ms, Total Time: 72ms
[2025-07-21 10:58:05.581] Query: BBOX(56.3742,56.5742,62.1645,62.3645), Zoom: 12, Rows: 1000, SQL Time: 68ms, Total Time: 72ms
[2025-07-21 10:58:05.665] Query: BBOX(56.3742,56.5742,62.1594,62.3594), Zoom: 12, Rows: 1000, SQL Time: 72ms, Total Time: 75ms
[2025-07-21 10:58:05.745] Query: BBOX(56.3736,56.5736,62.1581,62.3581), Zoom: 12, Rows: 1000, SQL Time: 68ms, Total Time: 72ms
[2025-07-21 10:58:05.831] Query: BBOX(56.3673,56.5673,62.1561,62.3561), Zoom: 12, Rows: 1000, SQL Time: 75ms, Total Time: 79ms
[2025-07-21 10:58:05.914] Query: BBOX(56.3488,56.5488,62.1536,62.3536), Zoom: 12, Rows: 1000, SQL Time: 70ms, Total Time: 74ms
[2025-07-21 10:58:05.998] Query: BBOX(56.333,56.533,62.1545,62.3545), Zoom: 12, Rows: 1000, SQL Time: 72ms, Total Time: 77ms
[2025-07-21 10:58:06.079] Query: BBOX(56.3223,56.5223,62.1561,62.3561), Zoom: 12, Rows: 1000, SQL Time: 68ms, Total Time: 72ms
[2025-07-21 10:58:06.161] Query: BBOX(56.316,56.516,62.1561,62.3561), Zoom: 12, Rows: 1000, SQL Time: 71ms, Total Time: 75ms
[2025-07-21 10:58:06.241] Query: BBOX(56.3136,56.5136,62.1561,62.3561), Zoom: 12, Rows: 1000, SQL Time: 69ms, Total Time: 72ms
[2025-07-21 10:58:06.323] Query: BBOX(56.3132,56.5132,62.1561,62.3561), Zoom: 12, Rows: 1000, SQL Time: 68ms, Total Time: 73ms
[2025-07-21 10:58:06.403] Query: BBOX(56.3131,56.5131,62.1561,62.3561), Zoom: 12, Rows: 1000, SQL Time: 69ms, Total Time: 73ms
[2025-07-21 10:58:06.695] Query: BBOX(56.3127,56.5127,62.1565,62.3565), Zoom: 12, Rows: 1000, SQL Time: 102ms, Total Time: 114ms
[2025-07-21 10:58:06.776] Query: BBOX(56.2968,56.4968,62.1819,62.3819), Zoom: 12, Rows: 1000, SQL Time: 70ms, Total Time: 74ms
[2025-07-21 10:58:06.857] Query: BBOX(56.2855,56.4855,62.2061,62.4061), Zoom: 12, Rows: 1000, SQL Time: 70ms, Total Time: 73ms
[2025-07-21 10:58:07.003] Query: BBOX(56.2736,56.4736,62.2305,62.4305), Zoom: 12, Rows: 1000, SQL Time: 136ms, Total Time: 139ms
[2025-07-21 10:58:07.150] Query: BBOX(56.2577,56.4577,62.2539,62.4539), Zoom: 12, Rows: 1000, SQL Time: 134ms, Total Time: 139ms
[2025-07-21 10:58:07.295] Query: BBOX(56.2422,56.4422,62.2654,62.4654), Zoom: 12, Rows: 1000, SQL Time: 133ms, Total Time: 138ms
[2025-07-21 10:58:07.440] Query: BBOX(56.2293,56.4293,62.2663,62.4663), Zoom: 12, Rows: 1000, SQL Time: 133ms, Total Time: 136ms
[2025-07-21 10:58:07.584] Query: BBOX(56.2265,56.4265,62.2294,62.4294), Zoom: 12, Rows: 1000, SQL Time: 131ms, Total Time: 137ms
[2025-07-21 10:58:07.729] Query: BBOX(56.2284,56.4284,62.1676,62.3676), Zoom: 12, Rows: 1000, SQL Time: 133ms, Total Time: 137ms
[2025-07-21 10:58:07.875] Query: BBOX(56.2322,56.4322,62.1314,62.3314), Zoom: 12, Rows: 1000, SQL Time: 134ms, Total Time: 139ms
[2025-07-21 10:58:08.018] Query: BBOX(56.2389,56.4389,62.1058,62.3058), Zoom: 12, Rows: 1000, SQL Time: 132ms, Total Time: 135ms
[2025-07-21 10:58:08.162] Query: BBOX(56.2417,56.4417,62.1016,62.3016), Zoom: 12, Rows: 1000, SQL Time: 132ms, Total Time: 136ms
[2025-07-21 10:58:08.306] Query: BBOX(56.2436,56.4436,62.1001,62.3001), Zoom: 12, Rows: 1000, SQL Time: 133ms, Total Time: 136ms
[2025-07-21 10:58:08.581] Query: BBOX(56.2436,56.4436,62.0927,62.2927), Zoom: 12, Rows: 1000, SQL Time: 130ms, Total Time: 137ms
[2025-07-21 10:58:08.653] Query: BBOX(56.2468,56.4468,62.0276,62.2276), Zoom: 12, Rows: 1000, SQL Time: 61ms, Total Time: 64ms
[2025-07-21 10:58:08.720] Query: BBOX(56.2478,56.4478,62.0185,62.2185), Zoom: 12, Rows: 1000, SQL Time: 56ms, Total Time: 60ms
[2025-07-21 10:58:08.783] Query: BBOX(56.2493,56.4493,62.0145,62.2145), Zoom: 12, Rows: 1000, SQL Time: 53ms, Total Time: 57ms
[2025-07-21 10:58:08.847] Query: BBOX(56.2509,56.4509,62.0114,62.2114), Zoom: 12, Rows: 1000, SQL Time: 53ms, Total Time: 56ms
[2025-07-21 10:58:08.914] Query: BBOX(56.2523,56.4523,62.0082,62.2082), Zoom: 12, Rows: 1000, SQL Time: 56ms, Total Time: 60ms
[2025-07-21 10:58:08.987] Query: BBOX(56.2539,56.4539,62.0047,62.2047), Zoom: 12, Rows: 1000, SQL Time: 62ms, Total Time: 67ms
[2025-07-21 10:58:09.047] Query: BBOX(56.257,56.457,61.9953,62.1954), Zoom: 12, Rows: 1000, SQL Time: 49ms, Total Time: 52ms
