[2025-07-16 16:38:39.363] Query: BBOX(56.2955,56.4955,61.942,62.142), Zoom: 12, Rows: 9140, SQL Time: 221ms, Total Time: 225ms
[2025-07-16 16:38:40.619] Query: BBOX(56.2954,56.4954,61.9429,62.1429), Zoom: 12, Rows: 8944, SQL Time: 193ms, Total Time: 198ms
[2025-07-16 16:38:40.818] Query: BBOX(56.2954,56.4954,61.9436,62.1436), Zoom: 12, Rows: 8786, SQL Time: 195ms, Total Time: 198ms
[2025-07-16 16:38:41.007] Query: BBOX(56.2942,56.4942,61.9591,62.1591), Zoom: 12, Rows: 6297, SQL Time: 183ms, Total Time: 188ms
[2025-07-16 16:38:41.181] Query: BBOX(56.2941,56.4941,61.9733,62.1733), Zoom: 12, Rows: 4460, SQL Time: 169ms, Total Time: 172ms
[2025-07-16 16:38:41.348] Query: BBOX(56.2941,56.4941,61.9865,62.1865), Zoom: 12, Rows: 2953, SQL Time: 162ms, Total Time: 165ms
[2025-07-16 16:38:41.505] Query: BBOX(56.2959,56.4959,62,62.2), Zoom: 12, Rows: 2265, SQL Time: 153ms, Total Time: 156ms
[2025-07-16 16:38:41.665] Query: BBOX(56.2998,56.4998,62.0102,62.2102), Zoom: 12, Rows: 1936, SQL Time: 152ms, Total Time: 158ms
[2025-07-16 16:38:41.822] Query: BBOX(56.3048,56.5048,62.0165,62.2165), Zoom: 12, Rows: 1760, SQL Time: 152ms, Total Time: 156ms
[2025-07-16 16:38:41.977] Query: BBOX(56.3108,56.5108,62.0196,62.2196), Zoom: 12, Rows: 1713, SQL Time: 149ms, Total Time: 153ms
[2025-07-16 16:38:42.137] Query: BBOX(56.3174,56.5174,62.0182,62.2182), Zoom: 12, Rows: 1738, SQL Time: 153ms, Total Time: 158ms
[2025-07-16 16:38:42.295] Query: BBOX(56.3237,56.5237,62.0127,62.2127), Zoom: 12, Rows: 1869, SQL Time: 153ms, Total Time: 157ms
[2025-07-16 16:38:42.455] Query: BBOX(56.328,56.528,62.0067,62.2067), Zoom: 12, Rows: 2041, SQL Time: 155ms, Total Time: 158ms
[2025-07-16 16:38:42.615] Query: BBOX(56.3331,56.5331,61.9996,62.1996), Zoom: 12, Rows: 2495, SQL Time: 156ms, Total Time: 160ms
[2025-07-16 16:38:42.779] Query: BBOX(56.3364,56.5364,61.9991,62.1991), Zoom: 12, Rows: 2804, SQL Time: 159ms, Total Time: 162ms
[2025-07-16 16:38:42.944] Query: BBOX(56.3385,56.5385,62.0071,62.2071), Zoom: 12, Rows: 3081, SQL Time: 160ms, Total Time: 164ms
[2025-07-16 16:38:43.108] Query: BBOX(56.3391,56.5391,62.0231,62.2231), Zoom: 12, Rows: 3136, SQL Time: 158ms, Total Time: 162ms
[2025-07-16 16:38:43.270] Query: BBOX(56.3349,56.5349,62.0618,62.2618), Zoom: 12, Rows: 2152, SQL Time: 157ms, Total Time: 161ms
[2025-07-16 16:38:43.427] Query: BBOX(56.3242,56.5242,62.1132,62.3132), Zoom: 12, Rows: 1475, SQL Time: 152ms, Total Time: 156ms
